TIME_PERIOD,OBS_VALUE,OBS_EXCEPTION,OBS_STATUS,OBS_SOURCE,OBS_NOTE,COBER_GEO,Fecha,Valor
2024,25365220.65,,1,17,,00,2024-01-01,25365220.65
2023,25027209.092,,,17,,00,2023-01-01,25027209.092
2022,24273093.494,,,17,,00,2022-01-01,24273093.494
2021,23404831.113,,,17,,00,2021-01-01,23404831.113
2020,22069934.76,,,17,,00,2020-01-01,22069934.76
2019,24081730.885,,,17,,00,2019-01-01,24081730.885
2018,24176670.374,,,17,,00,2018-01-01,24176670.374
2017,23709107.314,,,17,,00,2017-01-01,23709107.314
2016,23273490.747,,,17,,00,2016-01-01,23273490.747
2015,22868154.259,,,17,,00,2015-01-01,22868154.259
2014,22266442.955,,,17,,00,2014-01-01,22266442.955
2013,21722561.391,,,17,,00,2013-01-01,21722561.391
2012,21539027.006,,,17,,00,2012-01-01,21539027.006
2011,20799960.569,,,17,,00,2011-01-01,20799960.569
2010,20107450.9,,,17,,00,2010-01-01,20107450.9
2009,19155182.679,,,17,,00,2009-01-01,19155182.679
2008,20442061.681,,,17,,00,2008-01-01,20442061.681
2007,20251027.288,,,17,,00,2007-01-01,20251027.288
2006,19838803.936,,,17,,00,2006-01-01,19838803.936
2005,18929250.871,,,17,,00,2005-01-01,18929250.871
2004,18537507.526,,,17,,00,2004-01-01,18537507.526
2003,17899317.905,,,17,,00,2003-01-01,17899317.905
